Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 21.16      0.11     0.11   215534     0.00     0.00  std::__atomic_base<long>::fetch_add(long, std::memory_order)
 19.23      0.21     0.10    53502     0.00     0.00  tervel::wf_ring_buffer::RingBuffer<long>::get_position(long)
  9.62      0.26     0.05    22533     0.00     0.01  tervel::wf_ring_buffer::RingBuffer<long>::lf_dequeue(long*)
  7.69      0.30     0.04    62217     0.00     0.00  std::__atomic_base<tervel::wf_ring_buffer::Node<long>*>::load(std::memory_order) const
  5.77      0.33     0.03    74673     0.00     0.00  std::__atomic_base<tervel::wf_ring_buffer::Node<long>*>::compare_exchange_strong(tervel::wf_ring_buffer::Node<long>*&, tervel::wf_ring_buffer::Node<long>*, std::memory_order, std::memory_order)
  5.77      0.36     0.03    71852     0.00     0.00  tervel::util::memory::rc::unwatch(tervel::util::Descriptor*)
  3.85      0.38     0.02   173931     0.00     0.00  tervel::util::memory::rc::is_watched(tervel::util::Descriptor*)
  3.85      0.40     0.02   127438     0.00     0.00  tervel::util::memory::rc::PoolElement::next()
  3.85      0.42     0.02    55290     0.00     0.01  tervel::wf_ring_buffer::RingBuffer<long>::lf_enqueue(long)
  1.92      0.43     0.01   370725     0.00     0.00  std::__atomic_base<long>::load(std::memory_order) const
  1.92      0.44     0.01   148119     0.00     0.00  tervel::util::memory::rc::DescriptorPool::try_clear_unsafe_pool(bool)
  1.92      0.45     0.01    65536     0.00     0.00  std::__atomic_base<tervel::wf_ring_buffer::Node<long>*>::store(tervel::wf_ring_buffer::Node<long>*, std::memory_order)
  1.92      0.46     0.01    61892     0.00     0.00  std::__atomic_base<void*>::load(std::memory_order) const
  1.92      0.47     0.01    60636     0.00     0.00  tervel::util::memory::rc::unmark_first(void*)
  1.92      0.48     0.01    18225     0.00     0.00  tervel::wf_ring_buffer::Node<long>::val()
  1.92      0.49     0.01    16277     0.00     0.00  std::atomic<tervel::wf_ring_buffer::BufferOp<long>*>::load(std::memory_order) const
  1.92      0.50     0.01                             std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.96      0.51     0.01   745193     0.00     0.00  tervel::util::memory::rc::PoolElement::header()
  0.96      0.51     0.01   401456     0.00     0.00  tervel::util::memory::rc::get_elem_from_descriptor(tervel::util::Descriptor*)
  0.96      0.52     0.01   144812     0.00     0.00  tervel::util::memory::rc::DescriptorPool::get_from_pool(bool)
  0.96      0.52     0.01        3     1.67     1.67  tervel::util::memory::rc::DescriptorPool::reserve(int)
  0.00      0.52     0.00   543369     0.00     0.00  long& std::forward<long&>(std::remove_reference<long&>::type&)
  0.00      0.52     0.00   396021     0.00     0.00  tervel::util::memory::rc::PoolElement::descriptor()
  0.00      0.52     0.00   204918     0.00     0.00  tervel::ThreadContext::get_rc_descriptor_pool()
  0.00      0.52     0.00   164026     0.00     0.00  tervel::util::memory::rc::PoolElement::next(tervel::util::memory::rc::PoolElement*)
  0.00      0.52     0.00   160440     0.00     0.00  std::__atomic_base<long>::operator long() const
  0.00      0.52     0.00   146640     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.52     0.00   146258     0.00     0.00  tervel::util::Descriptor::Descriptor()
  0.00      0.52     0.00   142685     0.00     0.00  tervel::wf_ring_buffer::Node<long>::Node(long, long)
  0.00      0.52     0.00   111063     0.00     0.00  tervel::wf_ring_buffer::Node<long>::seq()
  0.00      0.52     0.00    83917     0.00     0.00  tervel::util::memory::rc::DescriptorPool::free_descriptor(tervel::util::Descriptor*, bool)
  0.00      0.52     0.00    81537     0.00     0.00  tervel::wf_ring_buffer::EmptyNode<long>::EmptyNode(long)
  0.00      0.52     0.00    80329     0.00     0.00  tervel::ThreadContext::delay_count(unsigned long)
  0.00      0.52     0.00    77610     0.00     0.00  std::atomic<tervel::wf_ring_buffer::Node<long>*>::compare_exchange_strong(tervel::wf_ring_buffer::Node<long>*&, tervel::wf_ring_buffer::Node<long>*, std::memory_order)
  0.00      0.52     0.00    76660     0.00     0.00  std::__cmpexch_failure_order(std::memory_order)
  0.00      0.52     0.00    76581     0.00     0.00  tervel::util::ProgressAssurance::p_check_for_announcement()
