Size, Execution Time, Prefill, Total Threads, Distribution, Algorithm, Enqueues, Dequeues, Successful Enqueues, Successful Dequeues
4194304,1,2097152,"1","[1, 50, 50]",tsigas_tester,316806.666667,316809.666667,316806.666667,316809.666667
4194304,1,2097152,"1","[1, 50, 50]",tbb_tester,6729743.66667,0.0,6729743.66667,0.0
4194304,1,2097152,"1","[1, 50, 50]",padded_wf_tester,1809602.0,1813063.33333,1809602.0,1813063.33333
4194304,1,2097152,"2","[2, 50, 50]",tsigas_tester,74892.0,74529.6666667,74892.0,74529.6666667
4194304,1,2097152,"2","[2, 50, 50]",tbb_tester,1519646.33333,1614318.0,1519646.33333,1614318.0
4194304,1,2097152,"2","[2, 50, 50]",padded_wf_tester,1408744.66667,1411719.66667,1408744.66667,1411719.66667
4194304,1,2097152,"4","[4, 50, 50]",tsigas_tester,64768.0,64707.6666667,64768.0,64707.6666667
4194304,1,2097152,"4","[4, 50, 50]",tbb_tester,1862473.33333,1350937.0,1862473.33333,1350937.0
4194304,1,2097152,"4","[4, 50, 50]",padded_wf_tester,1453857.0,1452301.66667,1453857.0,1452301.66667
4194304,1,2097152,"8","[8, 50, 50]",tsigas_tester,54069.6666667,54021.6666667,54069.6666667,54021.6666667
4194304,1,2097152,"8","[8, 50, 50]",tbb_tester,2117678.33333,733838.0,2117678.33333,733838.0
4194304,1,2097152,"8","[8, 50, 50]",padded_wf_tester,1359592.33333,1360473.0,1359592.33333,1360473.0
4194304,1,2097152,"16","[16, 50, 50]",tsigas_tester,37767.6666667,37404.6666667,37767.6666667,37404.6666667
4194304,1,2097152,"16","[16, 50, 50]",tbb_tester,2018889.66667,373273.666667,2018889.66667,373273.666667
4194304,1,2097152,"16","[16, 50, 50]",padded_wf_tester,1295981.0,1292378.66667,1295981.0,1292378.66667
4194304,1,2097152,"32","[32, 50, 50]",tsigas_tester,18228.3333333,18119.0,18228.3333333,18119.0
4194304,1,2097152,"32","[32, 50, 50]",tbb_tester,1589856.33333,201089.333333,1589856.33333,201089.333333
4194304,1,2097152,"32","[32, 50, 50]",padded_wf_tester,1182708.0,1181283.0,1182708.0,1181283.0
4194304,1,2097152,"64","[64, 50, 50]",tsigas_tester,14102.0,14178.3333333,14102.0,14178.3333333
4194304,1,2097152,"64","[64, 50, 50]",tbb_tester,1480130.33333,226761.333333,1480130.33333,226761.333333
4194304,1,2097152,"64","[64, 50, 50]",padded_wf_tester,1694466.66667,1695769.0,1694466.66667,1695769.0
4194304,1,2097152,"128","[128, 50, 50]",tsigas_tester,16571.3333333,16404.3333333,16571.3333333,16404.3333333
4194304,1,2097152,"128","[128, 50, 50]",tbb_tester,488723.0,496110.333333,488723.0,496110.333333
4194304,1,2097152,"128","[128, 50, 50]",padded_wf_tester,1652524.0,1654036.0,1652524.0,1654036.0
4194304,1,2097152,"256","[256, 50, 50]",tsigas_tester,16227.6666667,16229.6666667,16227.6666667,16229.6666667
4194304,1,2097152,"256","[256, 50, 50]",tbb_tester,173260.333333,194094.0,173260.333333,194094.0
4194304,1,2097152,"256","[256, 50, 50]",padded_wf_tester,1626177.66667,1627308.0,1626177.66667,1627308.0

